TAZID,CO_TAZID,DevAcres,HH,Job,ATO_Job_byAuto,ATO_Job_byAuto_FF,ATO_Job_byAuto_SL,ATO_Job_byWalk,ATO_Job_byBike,ATO_Job_byTran_wk,ATO_Job_byTran_dr,ATO_HH_byAuto,ATO_HH_byAuto_FF,ATO_HH_byAuto_SL,ATO_HH_byWalk,ATO_HH_byBike,ATO_HH_byTran_wk,ATO_HH_byTran_dr
        52,     30052, 45.509891,      46.0,    1800.4,    129558,    180663,    248022,      6842,     17618,     11611,      3762,    107572,    145443,    198781,      2849,     14441,     10980,      2978
        53,     30053, 77.585652,     220.2,    1237.1,    125331,    175843,    245226,      6796,     17521,     17216,      3483,    104291,    141586,    197243,      3162,     14408,     13904,      2939
        54,     30054, 72.913789,     170.3,     669.9,    121507,    171487,    241603,      5516,     17329,     16655,      3510,    101242,    138035,    195098,      3195,     14261,     14836,      3168
        55,     30055, 75.013534,     156.2,     210.5,    119928,    174364,    240187,      4452,     17160,     13904,      3119,    100121,    140433,    193913,      2941,     14144,     13067,      2999
        56,     30056, 26.131260,      37.1,         0,    118350,    172628,    241798,      3227,     16986,         0,      2788,     98845,    139006,    194972,      2462,     14063,         0,      2603
        57,     30057, 28.559692,      87.2,         0,    116572,    166260,    240993,      2568,     16750,         0,      3296,     97279,    133758,    194531,      2490,     13749,         0,      3197
        58,     30058,252.494945,         0,         0,    102748,    150405,    237371,      1100,     16448,         0,      2033,     86272,    120789,    192738,      1319,     13758,         0,      2457
        59,     30059,190.274203,     129.4,         0,    147608,    199919,    276663,       863,     17176,         0,      4536,    122072,    161140,    214914,       906,     13863,         0,      3889
        60,     30060,195.748829,     152.2,         0,    142187,    193990,    277515,      2839,     17561,      9507,      3869,    117701,    156336,    215599,      2342,     14429,      8626,      3135
        61,     30061, 88.242831,     255.9,         0,    130350,    186631,    252409,      5449,     17650,     14712,      3030,    108274,    150408,    201422,      3746,     14641,     11641,      2455
        62,     30062, 75.224599,     205.1,      71.2,    128014,    183909,    244920,      6393,     17609,     19744,      3349,    106408,    148170,    196867,      4451,     14694,     15336,      2649
        63,     30063, 35.770124,      22.1,     194.3,    123051,    177724,    235477,      6987,     17657,      9846,      3287,    102408,    143061,    191128,      3535,     14583,      7399,      2602
        64,     30064, 85.373297,     210.3,     163.9,    130714,    186538,    247130,      6208,     17497,     16551,      3513,    108659,    150410,    198163,      4744,     14698,     13648,      2547
        65,     30065, 97.758595,     265.3,      69.5,    119913,    174070,    233714,      6965,     17559,     18841,      3072,    100079,    140175,    189885,      3965,     14589,     14004,      2501
        66,     30066, 51.309541,     162.5,     138.6,    135107,    191834,    262326,      5355,     17359,     15651,      3292,    112316,    154818,    206878,      4094,     14594,     13314,      2431
        67,     30067, 57.422659,     137.0,     113.9,    132512,    188871,    256717,      6165,     17438,     18624,      3264,    110233,    152393,    203627,      3680,     14505,     15584,      2624
        68,     30068, 52.467391,     174.2,      36.2,    128906,    184728,    257735,      3870,     17169,     13879,      3069,    107330,    148976,    204370,      3208,     14485,     12715,      2424
        69,     30069, 57.773502,      32.0,      82.9,    121265,    175897,    247865,      4564,     17254,     14431,      2753,    101197,    141692,    198657,      3075,     14387,     13699,      2515
        70,     30070, 34.826126,     103.6,      23.5,    126114,    181497,    256226,      2485,     16954,         0,      2948,    105087,    146303,    203546,      2365,     14351,         0,      2396
        71,     30071,143.723585,      25.0,         0,    120914,    176911,    258467,      1348,     16631,         0,      2675,    100925,    142533,    205014,      1421,     14076,         0,      2443
        72,     30072, 34.086920,      99.7,      85.6,    119508,    173911,    248363,      2765,     16960,         0,      3032,     99783,    140060,    198997,      2227,     14172,         0,      2767
        73,     30073,115.092528,       5.5,         0,    129706,    186802,    269293,       643,     16055,         0,      3593,    107989,    150703,    210920,       604,     13769,         0,      2899
        74,     30074,227.309852,      82.4,     140.8,    133568,    183945,    278335,       877,     16905,         0,      2420,    110563,    147943,    216362,      1093,     13988,         0,      1555
        75,     30075,149.658472,     513.6,     592.8,    159848,    219894,    295319,      3738,     17313,     23724,      5749,    132128,    177607,    224453,      3651,     14574,     17916,      3195
        76,     30076,114.941966,     500.4,     158.3,    138572,    195739,    264957,      3912,     17507,     16894,      3614,    114951,    157918,    208606,      3710,     14619,     13335,      2949
        77,     30077, 80.280561,     518.4,     943.4,    138709,    195892,    260813,      5133,     17457,     23875,      3911,    115083,    158061,    206154,      4776,     14701,     17309,      2569
        78,     30078,112.191671,     581.9,     306.0,    139691,    197050,    266518,      4657,     17266,     24532,      4048,    115894,    159018,    209431,      4600,     14664,     17280,      2754
        79,     30079, 39.400546,     488.5,     406.9,    130468,    186366,    253655,      5413,     17369,     19782,      3607,    108569,    150319,    201872,      4839,     14698,     15510,      2624
        80,     30080, 46.560144,     552.9,     351.6,    135380,    192071,    264419,      4433,     17111,     27874,      3904,    112561,    155036,    208090,      4295,     14618,     21166,      2647
        81,     30081,187.307320,     157.7,     315.0,    130025,    187044,    269994,      1471,     16607,     13563,      3579,    108255,    150909,    211355,      1577,     14199,     11881,      2829
        82,     30082,152.546581,     376.8,     499.8,    139835,    197371,    275956,      3572,     17046,     17051,      3614,    116156,    159356,    214338,      3680,     14558,     13966,      2571
        83,     30083,113.808487,         0,     248.7,    161896,    222352,    306202,      3663,     16940,     27056,      5592,    133821,    179645,    230241,      3185,     14451,     19757,      3187
        84,     30084, 53.080907,     197.3,     251.8,    154224,    214299,    300933,      4394,     16929,     32426,      5098,    127699,    173123,    227628,      3868,     14540,     22882,      2795
        85,     30085, 57.165840,      62.5,     133.7,    144951,    203480,    292899,      3226,     16609,     29475,      3970,    120427,    164370,    223310,      2898,     14407,     22309,      2968
        86,     30086,388.510529,      15.0,     156.6,    164991,    224588,    311301,       188,     14375,         0,      4801,    136125,    181300,    232936,       235,     12605,         0,      1935
        87,     30087,219.151682,      69.0,         0,         0,         0,         0,       883,     16203,         0,         0,         0,         0,         0,       785,     13847,         0,         0
        88,     30088,205.655239,      69.0,         0,    147162,    205256,    302079,      1175,     15455,     11904,      3169,    122223,    165744,    227790,       939,     13676,     11459,      1927
        89,     30089,199.281081,     164.5,     335.7,    149467,    204535,    271934,      1625,     15285,     26429,      4899,    124545,    165541,    211268,      1464,     13774,     18984,      3317
        90,     30090,271.340268,     125.2,     716.7,    148894,    208585,    300900,      3322,     16331,     24849,      4117,    123617,    168512,    227510,      2699,     14306,     18277,      3123
        91,     30091,150.566799,     255.2,     117.3,    147111,    201778,    272113,      1644,     15268,     26416,      4756,    122635,    163303,    211496,      1372,     13872,     19331,      3239
