TAZID,CO_TAZID,DevAcres,HH,Job,ATO_Job_byAuto,ATO_Job_byAuto_FF,ATO_Job_byAuto_SL,ATO_Job_byWalk,ATO_Job_byBike,ATO_Job_byTran_wk,ATO_Job_byTran_dr,ATO_HH_byAuto,ATO_HH_byAuto_FF,ATO_HH_byAuto_SL,ATO_HH_byWalk,ATO_HH_byBike,ATO_HH_byTran_wk,ATO_HH_byTran_dr
       886,    110305,179.460422,     402.8,         0,    456205,    769658,    983061,       523,     40322,     76134,     63115,    197849,    336146,    450041,      2301,     24138,     27074,     13111
       887,    110306,186.557716,     336.5,       7.8,    412189,    726829,    979457,       133,     38202,     40845,     58554,    179466,    316080,    446886,      1375,     23750,     17060,     12963
       888,    110307,168.532023,         0,     426.2,    560339,    746139,   1008793,       709,     33953,         0,     79845,    241862,    325766,    462942,         1,     15620,         0,     16121
       889,    110308,153.342685,         0,     320.8,    580900,    795364,   1024861,      1295,     37210,         0,     80272,    252130,    349627,    471254,         0,     18217,         0,     16111
       890,    110309,334.849171,         0,     815.3,    571151,    791062,   1008920,      3010,     39844,         0,     84093,    248221,    347507,    462524,       171,     21132,         0,     20159
       891,    110310, 78.223389,     476.7,     403.0,    535986,    849660,   1023293,      1532,     41149,    122871,     68630,    230435,    373259,    473016,      1684,     23282,     39327,     14674
       892,    110311,325.205586,     688.5,     114.5,    474847,    787938,   1006681,       282,     42866,     63244,     64362,    203491,    343319,    461353,      1631,     24606,     22182,     14014
       893,    110312,664.037850,         0,     692.5,    574705,    782701,   1022333,      1360,     46468,         0,     65322,    248593,    342308,    468968,         0,     22061,         0,     11930
       894,    110313,281.401042,     719.2,      36.7,    500477,    807945,   1030394,       316,     50672,     74393,     67698,    208208,    349670,    473493,      1229,     25155,     24886,     11568
       895,    110314,273.073704,     282.5,      77.0,    424680,    739867,   1018424,       128,     59459,         0,     62099,    179966,    319758,    463707,       735,     27614,         0,     13822
       896,    110315,555.644365,     279.3,      65.2,    355101,    654056,    993440,        65,     51250,         0,     54352,    152114,    280042,    448994,       279,     25631,         0,     12442
       897,    110316,120.767243,         0,      11.2,    608685,    826659,   1023053,       198,     44117,         0,     79749,    263358,    362551,    473035,         0,     18856,         0,     15436
       898,    110317,         0,         0,         0,     79865,    113159,    272369,         0,        76,         0,      3968,     56755,     73173,    148314,         0,       669,         0,       772
       899,    110318,         0,         0,         0,     61724,     99006,    498175,         0,       118,         0,      2409,     45452,     62172,    231389,         0,       440,         0,       594
       900,    110319,         0,         0,       5.0,      2620,      3227,    231580,         5,         5,         0,         0,      3231,      3632,    103237,         0,         0,         0,         0
       901,    110320,2113.09253,         0,         0,    288476,    573291,    812095,         0,     19616,         0,     12607,    134684,    254502,    380758,         0,     11138,         0,      2633
       902,    110321,1785.25623,         0,         0,    440157,    663956,    910074,         0,     23634,         0,     57852,    195667,    292484,    420023,         0,     10948,         0,     10946
       903,    110322,         0,         0,         0,    161714,    266658,    438060,         0,      4434,         0,      4689,     98761,    138447,    218669,         0,      8182,         0,      1190
       904,    110323,         0,         0,         0,     35416,     65146,    525718,         0,      8960,         0,       819,     24132,     38460,    241533,         0,      5057,         0,       356
       905,    110324,         0,         0,         0,     68448,    225956,    648196,         0,      2583,         0,      5587,     38450,     93415,    291729,         0,      3382,         0,       860
       906,    350001,         0,         0,         0,    320520,    449620,    732861,         0,      5193,         0,     12405,    138129,    190763,    330718,         0,      1811,         0,      2080
       907,    350002,         0,         0,     878.7,    313504,    443760,    893338,       879,      5987,         0,         0,    135124,    190399,    420053,         0,      3972,         0,         0
       908,    350003,1069.69559,         0,     215.8,    385424,    500641,    824562,       216,      1452,         0,     40337,    164916,    215334,    395166,         0,        13,         0,      8535
       909,    350004,586.267768,         0,     174.0,    471492,    591509,    900439,       174,      1341,         0,     41750,    193485,    246135,    423725,         0,         7,         0,      8949
       910,    350005,         0,         0,         0,    417493,    534227,    849323,        12,      1877,         0,     43481,    179664,    230897,    409122,         0,       648,         0,      9429
       911,    350006,576.489424,         0,     770.0,    452376,    601046,    907690,       770,      3473,         0,     60435,    200559,    263430,    437023,         0,      3196,         0,     13137
       912,    350007,         0,         0,         0,    309713,    414162,    769334,         0,      1054,         0,      1117,    129488,    175794,    374879,         0,       167,         0,        91
