TAZID,CO_TAZID,DevAcres,HH,Job,ATO_Job_byAuto,ATO_Job_byAuto_FF,ATO_Job_byAuto_SL,ATO_Job_byWalk,ATO_Job_byBike,ATO_Job_byTran_wk,ATO_Job_byTran_dr,ATO_HH_byAuto,ATO_HH_byAuto_FF,ATO_HH_byAuto_SL,ATO_HH_byWalk,ATO_HH_byBike,ATO_HH_byTran_wk,ATO_HH_byTran_dr
      2672,    490456,344.866245,     449.0,         0,    247716,    464192,    741051,      2654,     68180,         0,     52004,    170360,    296773,    482068,      3548,     47558,         0,     20941
      2673,    490457,161.040799,     169.0,         0,    245600,    456504,    723618,      2981,     67067,         0,     51037,    168613,    291873,    470207,      3564,     46848,         0,     20906
      2674,    490458,306.468755,     371.0,     246.0,    239462,    449447,    716740,      2770,     62342,         0,     33129,    163120,    284677,    463765,      3277,     44632,         0,     13423
      2675,    490459,315.101842,     386.0,         0,    254364,    493147,    780306,      3502,     68192,         0,     53631,    173968,    312270,    505027,      2977,     46929,         0,     21790
      2676,    490460,244.030863,     307.0,     263.0,    257040,    495115,    785545,      2687,     62523,         0,     37265,    174584,    313420,    507103,      2998,     44526,         0,     14898
      2677,    490461,243.512870,     357.0,      59.0,    246517,    479511,    762612,      2778,     58196,         0,     35635,    167461,    303673,    492047,      3057,     42461,         0,     14267
      2678,    490462,169.781362,     433.0,     973.0,    239311,    464351,    740185,      2877,     54907,         0,     33670,    162116,    293676,    477495,      3015,     40723,         0,     13527
      2679,    490463,267.790884,     243.0,         0,    237017,    442525,    709898,      3016,     58589,         0,     32514,    161137,    281125,    458790,      3183,     42516,         0,     13210
      2680,    490464,195.344621,     328.0,     195.0,    236645,    431615,    700058,      3286,     56957,         0,     30143,    160131,    274405,    451203,      3247,     41356,         0,     12211
      2681,    490465,265.951475,     251.0,     194.0,    235680,    448030,    723652,      2496,     50888,         0,     32115,    159189,    283373,    465961,      2785,     38365,         0,     12916
      2682,    490466,308.070828,     239.0,         0,    226699,    426278,    702509,      1784,     46320,         0,     29521,    152303,    269193,    451329,      2594,     35332,         0,     11808
      2683,    490467,281.911242,     651.0,     638.0,    234711,    422791,    686144,      3474,     56097,         0,     28033,    158772,    269595,    442389,      3472,     40204,         0,     11390
      2684,    490468,249.912839,     434.0,      60.0,    220894,    393870,    651868,      2225,     51277,         0,     24125,    148186,    249527,    419919,      3059,     36997,         0,      9815
      2685,    490469,390.621799,     477.0,         0,    220198,    376534,    611636,      1483,     51430,         0,     22362,    147749,    239501,    394525,      2389,     35673,         0,      8234
      2686,    490470,116.224433,     232.0,     693.0,    228450,    418681,    694999,      2717,     51437,         0,     28446,    153989,    265317,    446936,      3128,     38160,         0,     11506
      2687,    490471,217.565641,     449.0,         0,    217205,    393166,    665632,      1799,     46853,         0,     25536,    146209,    249435,    427937,      2883,     34983,         0,     10334
      2688,    490472,176.586335,     341.0,      55.0,    210297,    383892,    663821,      1153,     42117,         0,     24864,    141086,    242705,    426913,      2312,     32301,         0,      9701
      2689,    490473,135.919205,     389.0,      78.0,    215848,    389732,    649124,       984,     41627,         0,     24375,    144597,    246275,    417431,      2111,     31486,         0,      9740
      2690,    490474,258.963874,     613.0,         0,    267470,    507172,    729543,      6339,     77171,     18323,     54224,    185639,    324886,    479826,      4806,     51148,      7000,     22847
      2691,    490475,114.527685,     312.0,         0,    259759,    490177,    720482,      5116,     76099,         0,     49707,    179620,    314152,    472574,      4793,     50279,         0,     20062
      2692,    490476,167.860237,     412.0,         0,    256576,    477840,    706391,      4562,     74686,         0,     48743,    177044,    306695,    462420,      4634,     49389,         0,     19663
      2693,    490477,298.720855,     471.0,         0,    256016,    464322,    677627,      4536,     72935,         0,     38989,    174747,    297083,    443458,      4377,     48051,         0,     16135
      2694,    490478,294.805083,     497.0,     124.0,    255020,    488821,    733682,      3825,     73937,         0,     49158,    177227,    314067,    480551,      4246,     50044,         0,     20855
      2695,    490479,194.889900,     381.0,     374.0,    247036,    462973,    699603,      3504,     70286,         0,     48172,    169884,    296814,    457628,      3930,     48025,         0,     19982
      2696,    490480,328.332609,     777.0,     309.0,    251744,    452835,    675784,      6301,     76507,         0,     37793,    171303,    289367,    440532,      5123,     47908,         0,     15204
      2697,    490481,202.434793,     478.0,         0,    245184,    433665,    660578,      5435,     72082,         0,     26146,    165866,    276668,    428790,      4448,     45353,         0,     10272
      2698,    490482,418.422352,      74.0,    1224.0,    241768,    431505,    677883,      4213,     64676,         0,     28742,    163243,    275167,    440428,      3450,     44715,         0,     11734
      2699,    490483,391.063484,     672.0,    1036.0,    228830,    410492,    665459,      4095,     63034,         0,     26678,    155300,    261565,    430593,      3678,     42858,         0,     10853
      2700,    490484, 63.574965,     112.0,     601.0,    282762,    542696,    721350,      9594,     80236,     21247,     51136,    195275,    346046,    474246,      5184,     49946,      8393,     20754
      2701,    490485, 91.108060,         0,    1691.0,    250509,    477919,    666663,     11823,     78332,     30957,     53900,    173007,    304486,    442263,      4787,     51589,     12172,     21969
      2702,    490486,153.033583,     125.0,    1804.0,    255470,    486131,    675706,     10764,     78915,     31810,     51194,    178036,    311505,    446187,      4878,     50759,     12500,     20736
      2703,    490487,133.632425,     416.0,    1141.0,    276447,    526289,    714358,      9865,     80565,     26381,     53082,    191350,    335999,    468885,      5206,     50390,     10422,     21749
      2704,    490488,183.967169,     588.0,     313.0,    252550,    477544,    683798,      9270,     78766,     40820,     53129,    174344,    305405,    451104,      4964,     51284,     15311,     21446
      2705,    490489,150.772358,     438.0,     285.0,    264237,    496010,    685306,     10024,     82394,     36013,     48707,    181408,    316587,    450642,      5340,     49658,     14103,     20968
      2706,    490490,238.818772,     715.0,     973.0,    265896,    486133,    674029,     12543,     85630,     16916,     32620,    177942,    308165,    443595,      5740,     49098,      6598,     12160
      2707,    490491, 39.768645,      82.0,     731.0,    268788,    504920,    687456,     10484,     82802,     47667,     45403,    183642,    322074,    451288,      5515,     49877,     18541,     19461
      2708,    490492, 43.380891,      18.0,    1249.0,    266787,    503403,    689943,     10149,     82224,     47555,     45535,    182743,    321464,    452741,      5516,     50039,     18579,     19644
      2709,    490493, 74.829214,     171.0,     833.0,    264375,    488309,    671367,     10699,     83283,     25241,     41171,    179131,    310809,    440047,      5894,     49694,      9721,     17423
      2710,    490494, 96.055857,     327.0,     181.0,    259750,    495231,    704683,      9424,     81080,     34715,     50772,    178893,    316775,    461394,      5397,     50323,     13494,     20423
      2711,    490495, 99.649894,     272.0,     427.0,    275863,    512704,    713663,      9172,     81458,     24303,     41516,    188107,    327203,    466776,      5654,     49797,      9349,     17923
      2712,    490496,240.415942,     484.0,     534.0,    266027,    504001,    732843,      7441,     79008,     19912,     51141,    183617,    323098,    479922,      5185,     50524,      7520,     21053
      2713,    490497,195.340669,     701.0,     117.0,    262722,    484160,    708944,      6705,     78419,     15162,     41354,    179596,    309715,    463154,      5277,     49525,      5935,     17597
      2714,    490498, 95.839167,     100.0,    1774.0,    264839,    477616,    668814,     16211,     88788,     20840,     27614,    176376,    302418,    438542,      5215,     48266,      8058,      9980
      2715,    490499, 85.384130,     262.0,    1642.0,    264767,    465458,    648647,     17538,     90249,     28106,     28650,    175310,    294256,    425077,      5308,     48254,     10818,     10494
      2716,    490500,212.663896,    1594.0,    1912.0,    263799,    478132,    667729,     14137,     86998,     35631,     29264,    176298,    303329,    438051,      6773,     48987,     13232,     10625
      2717,    490501, 83.162161,     532.0,     358.0,    264394,    465843,    652432,     14914,     88179,     41555,     29931,    175641,    295202,    427121,      7065,     48632,     15529,     10928
      2718,    490502,147.868717,     485.0,    1373.0,    252095,    452795,    633552,     12436,     85161,     45137,     30442,    169472,    287545,    414224,      6876,     48921,     17252,     11924
      2719,    490503,273.178590,     793.0,     276.0,    244957,    441761,    635548,      9554,     81631,     23595,     30761,    165929,    281297,    415192,      6120,     48694,      9076,     11947
      2720,    490504,193.233089,      93.0,         0,    277010,    525861,    718800,      3379,     69895,         0,     42609,    193309,    338483,    478983,      3094,     45633,         0,     17632
      2721,    490505,274.055227,     356.0,         0,    280127,    523430,    712857,      4024,     73303,         0,     40404,    194200,    336466,    474012,      3312,     45398,         0,     16250
      2722,    490506,236.555758,     117.0,     369.0,    281285,    506262,    692299,      5422,     76093,         0,     34450,    192245,    324099,    459684,      2411,     44147,         0,     12896
      2723,    490507,189.791487,     433.0,      14.0,    269135,    487577,    690177,      6530,     79008,         0,     37464,    183397,    311027,    458937,      3614,     46188,         0,     15116
      2724,    490508,254.246157,    1316.0,     369.0,    280013,    531448,    731266,      6459,     74923,     41685,     46002,    196516,    343111,    485314,      4649,     48301,     18143,     19165
      2725,    490509,166.321985,     700.0,      51.0,    311001,    579007,    787308,      6914,     77299,     46935,     57227,    211992,    365520,    511869,      4953,     48335,     20461,     23220
      2726,    490510,298.042889,     831.0,     176.0,    273244,    506577,    699518,      7893,     80622,     27653,     51867,    187846,    323737,    461929,      4945,     48455,     12045,     21934
      2727,    490511, 88.088835,     138.0,     806.0,    258968,    491806,    703074,      8879,     75845,     40415,     45832,    182577,    318294,    466729,      4607,     49904,     17585,     19123
      2728,    490512, 96.031438,      53.0,     394.0,    258847,    487904,    693833,      9106,     77673,     79791,     58233,    181815,    315612,    459836,      4980,     49664,     34610,     24186
      2729,    490513, 63.852118,      64.0,     671.0,    282057,    542052,    733765,     10767,     77289,         0,     57692,    196501,    347197,    485472,      4680,     50641,         0,     26518
      2730,    490514,373.270651,      44.0,    2374.0,    281237,    494768,    695554,      8388,     80812,         0,     33446,    190337,    315881,    459021,      1720,     43928,         0,     12589
      2731,    490515,252.407478,         0,     264.0,    249311,    440279,    655410,     11367,     87886,         0,     31050,    167074,    279006,    428990,      1949,     45785,         0,     11499
      2732,    490516,145.399935,     141.0,     361.0,    291933,    523109,    711292,     11347,     84420,         0,     31979,    197458,    332762,    468501,      2787,     46014,         0,     11918
      2733,    490517,215.767597,         0,    2918.0,    276960,    484504,    658227,     15856,     90206,         0,     31084,    182142,    304440,    431265,      3015,     47121,         0,     11427
      2734,    490518,281.754564,     384.0,    1135.0,    280749,    507406,    706374,     10386,     83762,         0,     33920,    189789,    321929,    464825,      4033,     47361,         0,     12858
      2735,    490519,111.777529,         0,    1412.0,    272977,    484557,    671431,     13323,     86335,         0,     29560,    181791,    306529,    441448,      4295,     47742,         0,     10704
      2736,    490520, 55.727839,         0,     921.0,    284196,    505110,    678001,     15947,     88709,         0,     28607,    189053,    319416,    445081,      4105,     47635,         0,     10376
      2737,    490521,149.638829,     677.0,     708.0,    245262,    434491,    636157,     11885,     84503,     25191,     27772,    163586,    275201,    415260,      6578,     47785,      9896,     10297
      2738,    490522,201.025065,     480.0,     609.0,    235561,    409790,    605622,     11465,     83726,     15407,     26591,    155588,    258773,    394946,      6167,     46709,      6017,      9951
      2739,    490523,260.150703,     861.0,     510.0,    232198,    399870,    618995,      9024,     79822,         0,     26022,    152871,    252249,    402242,      5441,     44890,         0,      9781
      2740,    490524,171.191000,     207.0,    2282.0,    251551,    449854,    657804,      8870,     79253,     17784,     26230,    169642,    286104,    428751,      5531,     46983,      6864,     10100
      2741,    490525,170.500681,     409.0,         0,    241742,    421053,    622925,      7038,     76048,         0,     25555,    162170,    267779,    405867,      4965,     45125,         0,      9619
      2742,    490526,169.173638,     334.0,     180.0,    234809,    400319,    601928,      5105,     71785,         0,     24596,    156516,    253940,    391094,      4417,     42810,         0,      9268
      2743,    490527,203.169602,     313.0,         0,    235740,    406879,    636860,      4311,     68742,         0,     24915,    158840,    259731,    412938,      4022,     43161,         0,      9246
      2744,    490528,196.300063,     254.0,         0,    229931,    390370,    607398,      3063,     64430,         0,     24352,    154083,    248698,    393414,      3392,     40577,         0,      9027
      2745,    490529,410.224122,     569.0,     214.0,    217479,    379482,    630873,      2654,     59536,         0,     22992,    147362,    242585,    408385,      3275,     39855,         0,      8962
      2746,    490530,195.506694,     679.0,     844.0,    240356,    406243,    595328,      9903,     84471,     41739,     26498,    156172,    254804,    386003,      4663,     45480,     17122,      9794
      2747,    490531,305.347611,     636.0,     806.0,    239720,    405797,    607455,      6070,     77550,     22817,     23979,    156045,    254638,    393777,      4304,     42798,      9369,      9113
      2748,    490532,267.578380,     647.0,         0,    234100,    395863,    593460,      3071,     68583,         0,     21319,    151659,    247799,    384286,      3228,     38950,         0,      8422
